,site_id,site_name,site_category,year,month,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,source_file,system_time_start,temporal_scale,period,has_any_missing_value,n_missing_values,row_was_missing,season,has_all_values,has_any_value
44,bio_corridor,Biodiversity Corridor,corridor,2017,9,37_2_0,0.0419990405386654,0.4425369737068553,0.0667612184938424,-0.5713102626984601,0.385759697415056,0.1245676620982867,0.6575981153377112,-0.6381740662346052,0.3051194293676764,0.2050699855125554,0.0632276192458278,0.4173693535930234,0.2426594500325735,0.1416372301227858,median,2017-09-01,35.0,37.0,bio_corridor_aoi.geojson,1504224000000.0,monthly,baseline,False,0,False,dry,True,True
45,bio_corridor,Biodiversity Corridor,corridor,2017,10,38_2_0,0.0418455252649277,0.5069025299992329,0.0695244886728169,-0.5539831724802049,0.4558197014396947,0.1862833721872369,0.7029876098590109,-0.6622122638270387,0.3412240323776017,0.2427632286061849,0.0607616736908474,0.4670236502057783,0.2407747038229242,0.1348520981283597,median,2017-10-01,39.0,38.0,bio_corridor_aoi.geojson,1506816000000.0,monthly,baseline,False,0,False,dry,True,True
46,bio_corridor,Biodiversity Corridor,corridor,2017,11,39_2_0,0.0176662216557527,0.5892936998704446,0.0434452597558834,-0.5854939735967007,0.6937933288597126,0.3565070654421111,0.866337554042545,-0.7774380373553531,0.3461893041312534,0.300326370307116,0.0249910384382783,0.5530104983621942,0.1655873571814099,0.0634794029093699,median,2017-11-01,13.0,39.0,bio_corridor_aoi.geojson,1509494400000.0,monthly,baseline,False,0,False,other,True,True
47,bio_corridor,Biodiversity Corridor,corridor,2017,12,40_2_0,0.0328518807366989,0.474632790817066,0.0632862372390205,-0.545367665255941,0.4962513228892555,0.2130921062401751,0.7111607643565588,-0.6734936274756773,0.3222423345873989,0.2303405062602661,0.0556510247121569,0.4562843943755502,0.2146552935866157,0.1137491239383782,median,2017-12-01,24.0,40.0,bio_corridor_aoi.geojson,1512086400000.0,monthly,baseline,False,0,False,other,True,True
48,bio_corridor,Biodiversity Corridor,corridor,2018,1,41_2_0,0.0463346483618481,0.3678409304081473,0.0787444940340012,-0.502048754076382,0.3469517070829046,0.1069450187655999,0.5665100686417235,-0.5757910647467277,0.2919806949655524,0.166347904512934,0.0816435268586667,0.3617425880784437,0.2401380962497034,0.1465379375983984,median,2018-01-01,15.0,41.0,bio_corridor_aoi.geojson,1514764800000.0,monthly,current,False,0,False,other,True,True
49,bio_corridor,Biodiversity Corridor,corridor,2018,2,42_2_0,0.0368871337770995,0.4204670489582447,0.0638024857657015,-0.5717711316535762,0.418157891719487,0.1444295479613302,0.6577046199899629,-0.6509881010150265,0.2987536625790064,0.1985817662861124,0.064179741472613,0.4095905574953391,0.2342120242804227,0.1331864855740081,median,2018-02-01,30.0,42.0,bio_corridor_aoi.geojson,1517443200000.0,monthly,current,False,0,False,other,True,True
50,bio_corridor,Biodiversity Corridor,corridor,2018,3,43_2_0,0.0370691783115768,0.3995020967007658,0.0639027521490547,-0.5697343050990777,0.3872462296071509,0.1222767949647707,0.6419438994009093,-0.6358934104241978,0.28487286836667,0.1854200725022824,0.0643600601981874,0.391286533767693,0.2337722769669778,0.1368698650110363,median,2018-03-01,54.0,43.0,bio_corridor_aoi.geojson,1519862400000.0,monthly,current,False,0,False,wet,True,True
51,bio_corridor,Biodiversity Corridor,corridor,2018,4,44_2_0,0.0297655203036605,0.527731070186483,0.0587617507018211,-0.5484837968037013,0.5659022248356859,0.2690579302735908,0.7672370903382084,-0.704108709320064,0.3367359181516294,0.2604995743192682,0.0454174035112404,0.4958342759012157,0.1998035358017474,0.0987803328336859,median,2018-04-01,106.0,44.0,bio_corridor_aoi.geojson,1522540800000.0,monthly,current,False,0,False,wet,True,True
52,bio_corridor,Biodiversity Corridor,corridor,2018,5,45_2_0,,,,,,,,,,,,,,,median,2018-05-01,80.0,45.0,bio_corridor_aoi.geojson,1525132800000.0,monthly,current,True,14,False,wet,False,False
53,bio_corridor,Biodiversity Corridor,corridor,2018,6,46_2_0,0.0270438556001089,0.5109498870187489,0.052677469301149,-0.5525294634978396,0.5762615383628497,0.2871129922818109,0.7771224159993434,-0.7166841354192971,0.3179528785640464,0.2489909932732043,0.0407979006994462,0.4840257451692782,0.1815734658992179,0.0911261408163793,median,2018-06-01,115.0,46.0,bio_corridor_aoi.geojson,1527811200000.0,monthly,current,False,0,False,other,True,True
