system:index,EVI,MNDWI,NBR,NDMI,NDRE,NDVI,NDWI,NIRv,SAVI,composite_stat,date,day,image_count,image_id,month,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,.geo
5_0,0.4256561357449344,-0.49702441486639887,0.37717898010562123,0.12078820777539671,0.4367877500839543,0.6112218578067999,-0.5677543450418971,0.18350838837805453,0.38142688071599495,median,2023-01-01,1,77,5,1,focal,ks_rehab,KS Rehab,ks_rehab_aoi.geojson,1672531200000,annual,2023,"{""type"":""Polygon"",""coordinates"":[[[39.3851433564268,-4.4487890759394535],[39.42587967809848,-4.4487890759394535],[39.42587967809848,-4.403622562984628],[39.38514335642681,-4.403622562984627],[39.3851433564268,-4.4487890759394535]]]}"
5_1,0.47746942257002845,-0.5002298427054338,0.4876013448484784,0.20839846960043637,0.5096498107632325,0.6919288363060927,-0.6282945083000314,0.21270074761592056,0.4263989759530119,median,2023-01-01,1,77,5,1,reference,buda,Buda,buda_aoi.geojson,1672531200000,annual,2023,"{""type"":""Polygon"",""coordinates"":[[[39.38481,-4.469975],[39.42287,-4.469975],[39.42287,-4.4385],[39.38481,-4.4385],[39.38481,-4.469975]]]}"
5_2,0.4908096624121249,-0.5023273232412656,0.4618287635757721,0.18946233110766844,0.5057185974841639,0.6965209979333095,-0.6144308837730953,0.2132912845370101,0.43076125383123204,median,2023-01-01,1,77,5,1,reference,gogoni,Gogoni,gogoni_aoi.geojson,1672531200000,annual,2023,"{""type"":""Polygon"",""coordinates"":[[[39.45218200000001,-4.440197],[39.49385,-4.440197],[39.49385,-4.3979420000000005],[39.45218200000001,-4.3979420000000005],[39.45218200000001,-4.440197]]]}"
5_3,0.4345267127174577,-0.49494496255220816,0.37612604730479754,0.12489654475505603,0.44899962329331056,0.6186842737030409,-0.5643327573635177,0.18366665817527583,0.3820129898219613,median,2023-01-01,1,77,5,1,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1672531200000,annual,2023,"{""type"":""Polygon"",""coordinates"":[[[39.25828700000001,-4.364272],[39.506905999999994,-4.364272],[39.506906,-4.157254999999999],[39.258287,-4.157254999999999],[39.25828700000001,-4.364272]]]}"
5_4,0.2633079745106327,-0.5228566532006187,0.14351266610708724,-0.05205962123231039,0.31949759506092784,0.454003154519169,-0.47848646408209183,0.0997124199506282,0.2488548629589859,median,2023-01-01,1,77,5,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1672531200000,annual,2023,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[38.922629,-4.360315],[38.94074,-4.360315],[38.94074,-4.334897],[38.922629,-4.334897],[38.922629,-4.360315]]]}"
5_5,0.3910084425723688,-0.49034672508508437,0.3236329310699399,0.07808935634259224,0.4146502093282234,0.5831503603206646,-0.5336609074579993,0.16112628645555044,0.3519561466127694,median,2023-01-01,1,77,5,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1672531200000,annual,2023,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.357191,-4.502112],[39.373757,-4.502112],[39.373757,-4.485084],[39.357191,-4.485084],[39.357191,-4.502112]]]}"
6_0,0.4397800031286684,-0.5005592885389031,0.3852499168566443,0.128628632549764,0.44246878275655294,0.613929409706125,-0.5681214568302457,0.18772204069000215,0.38708633839181567,median,2024-01-01,1,65,6,1,focal,ks_rehab,KS Rehab,ks_rehab_aoi.geojson,1704067200000,annual,2024,"{""type"":""Polygon"",""coordinates"":[[[39.3851433564268,-4.4487890759394535],[39.42587967809848,-4.4487890759394535],[39.42587967809848,-4.403622562984628],[39.38514335642681,-4.403622562984627],[39.3851433564268,-4.4487890759394535]]]}"
6_1,0.5064125883519385,-0.49260726841408015,0.5015240227572078,0.22105107601618046,0.5161076761772052,0.7013633832198226,-0.6281230748794285,0.22519438607288292,0.4439978519659429,median,2024-01-01,1,65,6,1,reference,buda,Buda,buda_aoi.geojson,1704067200000,annual,2024,"{""type"":""Polygon"",""coordinates"":[[[39.38481,-4.469975],[39.42287,-4.469975],[39.42287,-4.4385],[39.38481,-4.4385],[39.38481,-4.469975]]]}"
6_2,0.49289255217222616,-0.5019257387132213,0.4565955923478193,0.1869074318976213,0.4993436908150689,0.692343154407456,-0.6163715032656926,0.21675677164379653,0.43412809753972054,median,2024-01-01,1,65,6,1,reference,gogoni,Gogoni,gogoni_aoi.geojson,1704067200000,annual,2024,"{""type"":""Polygon"",""coordinates"":[[[39.45218200000001,-4.440197],[39.49385,-4.440197],[39.49385,-4.3979420000000005],[39.45218200000001,-4.3979420000000005],[39.45218200000001,-4.440197]]]}"
6_3,0.44114144397426086,-0.510385369678808,0.36113302777637263,0.11223255614827732,0.44588725951379143,0.6151997707137585,-0.5720546933371883,0.1890396725631373,0.3892547802625859,median,2024-01-01,1,65,6,1,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1704067200000,annual,2024,"{""type"":""Polygon"",""coordinates"":[[[39.25828700000001,-4.364272],[39.506905999999994,-4.364272],[39.506906,-4.157254999999999],[39.258287,-4.157254999999999],[39.25828700000001,-4.364272]]]}"
6_4,0.370111958848409,-0.5449547197718116,0.30942601519475066,0.054924761196955746,0.4129600965166748,0.5905576084977894,-0.5649447795118343,0.15607726188939855,0.34891402218554257,median,2024-01-01,1,65,6,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1704067200000,annual,2024,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[38.922629,-4.360315],[38.94074,-4.360315],[38.94074,-4.334897],[38.922629,-4.334897],[38.922629,-4.360315]]]}"
6_5,0.41849467977285687,-0.5033615225936484,0.34070030062112927,0.0844343857336409,0.423783727569754,0.59810032662329,-0.5499600916275569,0.1752275922419948,0.3721278444712842,median,2024-01-01,1,65,6,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1704067200000,annual,2024,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.357191,-4.502112],[39.373757,-4.502112],[39.373757,-4.485084],[39.357191,-4.485084],[39.357191,-4.502112]]]}"
7_0,0.40743813374155774,-0.5152322495227141,0.3418849021993007,0.08497897803368787,0.41344948698541445,0.5934968809623914,-0.5597272118562521,0.1736939383067561,0.36790448870583375,median,2025-01-01,1,115,7,1,focal,ks_rehab,KS Rehab,ks_rehab_aoi.geojson,1735689600000,annual,2025,"{""type"":""Polygon"",""coordinates"":[[[39.3851433564268,-4.4487890759394535],[39.42587967809848,-4.4487890759394535],[39.42587967809848,-4.403622562984628],[39.38514335642681,-4.403622562984627],[39.3851433564268,-4.4487890759394535]]]}"
7_1,0.48314838528482723,-0.5034069448172936,0.48626218056816406,0.19940115324233496,0.4941306372688858,0.6973585891069192,-0.625711584467386,0.21401473530768805,0.4304648663169749,median,2025-01-01,1,115,7,1,reference,buda,Buda,buda_aoi.geojson,1735689600000,annual,2025,"{""type"":""Polygon"",""coordinates"":[[[39.38481,-4.469975],[39.42287,-4.469975],[39.42287,-4.4385],[39.38481,-4.4385],[39.38481,-4.469975]]]}"
7_2,0.46298247915040647,-0.5129255195872368,0.41511022050568985,0.1489020678721073,0.4667311993051879,0.6689563977128047,-0.6033136387490889,0.20180139994144258,0.4133674181884768,median,2025-01-01,1,115,7,1,reference,gogoni,Gogoni,gogoni_aoi.geojson,1735689600000,annual,2025,"{""type"":""Polygon"",""coordinates"":[[[39.45218200000001,-4.440197],[39.49385,-4.440197],[39.49385,-4.3979420000000005],[39.45218200000001,-4.3979420000000005],[39.45218200000001,-4.440197]]]}"
7_3,0.41256314130805855,-0.5131236589816689,0.3213006885311711,0.07871597167618942,0.41064458485817834,0.5842583876305777,-0.555226708738866,0.17530072562457927,0.36707860133032194,median,2025-01-01,1,115,7,1,reference,shimba_hills,Shimba Hills,shimba_hills_aoi.geojson,1735689600000,annual,2025,"{""type"":""Polygon"",""coordinates"":[[[39.25828700000001,-4.364272],[39.506905999999994,-4.364272],[39.506906,-4.157254999999999],[39.258287,-4.157254999999999],[39.25828700000001,-4.364272]]]}"
7_4,0.3136418678082296,-0.5268282942213703,0.22708065190359547,-1.5335760957888999E-4,0.3515737197007131,0.504123918739823,-0.5123866946259558,0.1233477984883936,0.2900448279576095,median,2025-01-01,1,115,7,1,degraded,degraded_1,degraded_1,degraded_1_aoi.geojson,1735689600000,annual,2025,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[38.922629,-4.360315],[38.94074,-4.360315],[38.94074,-4.334897],[38.922629,-4.334897],[38.922629,-4.360315]]]}"
7_5,0.3907795540411045,-0.5178757791517614,0.29227647641896365,0.042991091368224876,0.39503990556870094,0.5729621103202627,-0.5404333351875477,0.1627473053131305,0.35506795230440497,median,2025-01-01,1,115,7,1,degraded,degraded_2,degraded_2,degraded_2_aoi.geojson,1735689600000,annual,2025,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.357191,-4.502112],[39.373757,-4.502112],[39.373757,-4.485084],[39.357191,-4.485084],[39.357191,-4.502112]]]}"
