,system:index,BLUE,EVI,GREEN,MNDWI,NBR,NDMI,NDVI,NDWI,NIR,NIRv,RED,SAVI,SWIR1,SWIR2,composite_stat,date,image_count,image_id,site_category,site_id,site_name,source_file,system_time_start,temporal_scale,year,period,has_any_missing_value,n_missing_values
34,10_6,0.0513183243711889,0.2151314039318663,0.0899124351745307,-0.5673482490715854,0.1564865469819959,-0.0677112720773299,0.3424535815299541,-0.5152215082522371,0.2816283129918686,0.1003417045644742,0.1425377594214077,0.2273400061861692,0.3278671778329564,0.2100774979520412,median,2024-01-01,778,10,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1704067200000,annual,2024,current,False,0
35,11_6,0.0526372514957271,0.2248824500434214,0.0902504282385641,-0.5792264974913105,0.1394002026326661,-0.0733869367206176,0.351390644441291,-0.5344919133554803,0.3051272756249861,0.1057217936386684,0.1483376314438987,0.2394289453202814,0.3537743815482886,0.2342713508878736,median,2025-01-01,456,11,degraded,degraded_3,degraded_3,degraded_3_aoi.geojson,1735689600000,annual,2025,current,False,0
36,0_0,0.0391221971528783,0.3686893721866848,0.0677001070259944,-0.5564666382034525,0.3408702578646541,0.0812052988390201,0.5887989167599043,-0.6081565548390937,0.2811605650128573,0.1684221950898215,0.0721919433849111,0.3657210773279112,0.2405863100710566,0.1398044543016904,median,2014-01-01,17,0,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1388534400000,annual,2014,baseline,False,0
37,1_0,0.0340070703240484,0.4980395364976946,0.0681349486484055,-0.547170603547821,0.4906182136075,0.1929184259685958,0.7063695113050417,-0.6681238249859267,0.3459834685142099,0.2473586137585858,0.0589364985153669,0.474416718981339,0.23493305911539,0.1191343850019925,median,2015-01-01,18,1,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1420070400000,annual,2015,baseline,False,0
38,2_0,0.0380132703855911,0.3749521999328137,0.066421348956277,-0.5668307018734836,0.3340523783001494,0.0817517128071947,0.6009638471536211,-0.6172972914269476,0.2822632678070363,0.171516390896072,0.0703640300025447,0.3715268550964647,0.2447730717692185,0.1449489110043434,median,2016-01-01,247,2,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1451606400000,annual,2016,baseline,False,0
39,3_0,0.0399853552445696,0.3772282151952233,0.0682865977276591,-0.579654873400939,0.3181202754701602,0.0662784292994835,0.5978012460914255,-0.6182516033558021,0.2874079993118217,0.1724124645730378,0.0727190536195725,0.3721874174380425,0.2563220319774648,0.1525100551810782,median,2017-01-01,312,3,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1483228800000,annual,2017,baseline,False,0
40,4_0,0.0288312950348865,0.4981294047462238,0.0592865646714286,-0.5549909736021262,0.5239169748440033,0.229452174754153,0.7441446317847944,-0.6913679056454539,0.3220478759892565,0.2442230043930005,0.0479405095224769,0.476624541356863,0.206096592545186,0.1037322167203655,median,2018-01-01,670,4,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1514764800000,annual,2018,current,False,0
41,5_0,0.0360734082917876,0.370263882689873,0.065253255615966,-0.5857471887639044,0.3283410555668007,0.0738605223901005,0.5909156788805381,-0.6281379878273242,0.2883659687377672,0.1738337257909852,0.0753032283931882,0.3684390484083895,0.2532244052626202,0.1523005775117876,median,2019-01-01,705,5,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1546300800000,annual,2019,current,False,0
42,6_0,0.036904928295034,0.3571064921490778,0.0706528282944422,-0.5639410901577416,0.3429636223278143,0.0944016408989148,0.5426123376800926,-0.6117828389254422,0.3040404272200723,0.174941000610584,0.0907453081711452,0.3513936479544768,0.2566394560347912,0.156086890583878,median,2020-01-01,653,6,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1577836800000,annual,2020,current,False,0
43,7_0,0.0446820248927785,0.2428902193367157,0.076746367238655,-0.5855928879237684,0.1649253411127797,-0.0504642554586297,0.4059726181614383,-0.5469657054308715,0.2677170404444238,0.1109341419929836,0.1129031767375446,0.2543026869135503,0.2985123200401068,0.195866875543716,median,2021-01-01,75,7,focal,ks_rehab,KS Rehab,ks_rehab_blocks.geojson,1609459200000,annual,2021,current,False,0
