,site_id,site_name,site_category,year,season,period,expected_months_in_season,observed_rows_in_season,missing_rows_in_season,min_valid_months_required,BLUE_n_valid_months,BLUE,GREEN_n_valid_months,GREEN,RED_n_valid_months,RED,NIR_n_valid_months,NIR,SWIR1_n_valid_months,SWIR1,SWIR2_n_valid_months,SWIR2,NDVI_n_valid_months,NDVI,EVI_n_valid_months,EVI,NDWI_n_valid_months,NDWI,MNDWI_n_valid_months,MNDWI,SAVI_n_valid_months,SAVI,NDMI_n_valid_months,NDMI,NBR_n_valid_months,NBR,NIRv_n_valid_months,NIRv
84,ks_rehab,KS Rehab,focal,2020,dry,current,4,4,0,3,4,0.055063275947335524,4,0.08938332913846818,4,0.15712560227238043,4,0.2654393260268114,4,0.3614787209674174,4,0.25484170702339437,4,0.26952867277938325,4,0.1679196632522438,4,-0.4926525411147363,4,-0.6027596989382235,4,0.17894320502415578,4,-0.14684823027990113,4,0.03098071658329687,4,0.0775576796998897
85,ks_rehab,KS Rehab,focal,2020,wet,current,3,3,0,2,2,0.03591868232052455,2,0.06804513510989746,2,0.09397802016293699,2,0.2866189643913018,2,0.26200466408740025,2,0.1579515885348844,2,0.5193350050413862,2,0.33395894086428,2,-0.6072338496194472,2,-0.5841958447843438,2,0.33065335233216797,2,0.0567747431928469,2,0.3097690061551702,2,0.16282038079715325
86,ks_rehab,KS Rehab,focal,2021,dry,current,4,4,0,3,4,0.0449366240628665,4,0.07780194023276041,4,0.10299590705778988,4,0.2916607908834411,4,0.2884167325730517,4,0.18679586455139868,4,0.48677462604486926,4,0.31428271759748705,4,-0.5750017406313117,4,-0.5735591089282601,4,0.317661276177368,4,0.012419290460713404,4,0.23328449208810254,4,0.14867409540324963
87,ks_rehab,KS Rehab,focal,2021,wet,current,3,3,0,2,3,0.045230239193951104,3,0.08047400443306303,3,0.11733023983711459,3,0.2810112729533513,3,0.2907969995029523,3,0.18829215159829302,3,0.4300627630374813,3,0.2702277224032542,3,-0.5536826491414347,3,-0.5670765879071817,3,0.2774064201017187,3,-0.005108497752625632,3,0.21738168667882132,3,0.12926631585214152
88,ks_rehab,KS Rehab,focal,2022,dry,current,4,4,0,3,4,0.046038475600762546,4,0.0857404412413652,4,0.10021832115972465,4,0.33194802038261045,4,0.2847749133418212,4,0.1678222501425926,4,0.5462922710787816,4,0.3833463225982435,4,-0.5852267927562422,4,-0.537871471535319,4,0.3734887480782939,4,0.07829703870369698,4,0.333274183425039,4,0.18983148603296293
89,ks_rehab,KS Rehab,focal,2022,wet,current,3,3,0,2,3,0.05184254119658683,3,0.08689533098959323,3,0.11807815352337947,3,0.2949696818467958,3,0.3165915903698458,3,0.200587065494528,3,0.43349395699000864,3,0.2886765794786003,3,-0.5400841435370407,3,-0.5686670606005418,3,0.29059872612668897,3,-0.034353976825565596,3,0.1938993489361517,3,0.13629031383250098
90,ks_rehab,KS Rehab,focal,2023,dry,current,4,4,0,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
91,ks_rehab,KS Rehab,focal,2023,wet,current,3,3,0,2,3,0.052415675661068,3,0.09295657394866648,3,0.13342081216243348,3,0.28708196259497076,3,0.29927731673596525,3,0.18863369204393696,3,0.377473236432529,3,0.24253630841277385,3,-0.5093257949884654,3,-0.5300063916193,3,0.2528223232924463,3,-0.019417823241792097,3,0.2161864286984728,3,0.11526855529887874
92,ks_rehab,KS Rehab,focal,2024,dry,current,4,4,0,3,3,0.04714936028994393,3,0.08355173634933423,3,0.09648520645000408,3,0.29185743016023563,3,0.29235626118179886,3,0.17497099711823186,3,0.507237041546658,3,0.32654356525774847,3,-0.5534111669821269,3,-0.5506369061731802,3,0.3299637829125312,3,0.0071256418171898985,3,0.25906484619251535,3,0.1514902508694164
93,ks_rehab,KS Rehab,focal,2024,wet,current,3,3,0,2,3,0.046630545146107566,3,0.08745594252527412,3,0.10679727490545166,3,0.29689615992443613,3,0.2736691769006511,3,0.16515735049510455,3,0.48200736911844033,3,0.31168453222534337,3,-0.5433318350904254,3,-0.5181990652565585,3,0.3157360846859894,3,0.043159187944124204,3,0.28789379421251765,3,0.15015197027997937
94,ks_rehab,KS Rehab,focal,2025,dry,current,4,4,0,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
95,ks_rehab,KS Rehab,focal,2025,wet,current,3,3,0,2,3,0.04808269581731863,3,0.08080476515497333,3,0.08883451709259206,3,0.2949698266585804,3,0.2895672424363926,3,0.17754640003665692,3,0.5251593063660525,3,0.35451878302901135,3,-0.5562913426246642,3,-0.5549147649734375,3,0.3445986364845271,3,0.01065399983584206,3,0.24758103376587184,3,0.1658933304514302
96,buda,Buda,reference,2014,dry,baseline,4,3,1,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
97,buda,Buda,reference,2014,wet,baseline,3,3,0,2,2,0.03747432962817225,2,0.0694973256443045,2,0.06071529276509935,2,0.35780005803659254,2,0.24403090030493801,2,0.12675780678241194,2,0.7059539410849796,2,0.5185903668831686,2,-0.6689742095784574,2,-0.5581535065855545,2,0.4836040396548713,2,0.19946523033430302,2,0.48605955588244176,2,0.2593649680179618
98,buda,Buda,reference,2015,dry,baseline,4,3,1,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
99,buda,Buda,reference,2015,wet,baseline,3,1,2,2,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
100,buda,Buda,reference,2016,dry,baseline,4,4,0,3,4,0.0180168434403189,4,0.039664629276694695,4,0.024769822916835126,4,0.32904167834405823,4,0.15805148808932526,4,0.06392426056925123,4,0.8591576171424139,4,0.5660915517633878,4,-0.7838171682375633,4,-0.5993784394966833,4,0.53339505244468,4,0.35078001397863773,4,0.675078423122767,4,0.2834869537272737
101,buda,Buda,reference,2016,wet,baseline,3,3,0,2,3,0.02039141025229323,3,0.04971116219010313,3,0.031484219437123005,3,0.387033365805258,3,0.17185486970927819,3,0.07161836678747237,3,0.847964606454419,3,0.6233717293581184,3,-0.7711818450675542,3,-0.5539554291493172,3,0.5779650312442303,3,0.3830132609866981,3,0.6870752864970191,3,0.3296728012150431
102,buda,Buda,reference,2017,dry,baseline,4,4,0,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
103,buda,Buda,reference,2017,wet,baseline,3,3,0,2,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
